epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias
52,0.009781,0.004515,0.027771,-0.052461,-0.043783,0.008468,0.025956,-0.030245,0.004656,-0.016175,0.005490,0.009373,0.027744,0.006493,0.023902,0.026918,-0.032804,0.022273,0.030161,0.007728,0.008797,-0.036194,0.026797,0.030124,0.006608,0.027900,0.023041,0.024895,-0.019313,0.028204,0.028060,0.029998
53,0.009194,0.003259,0.025004,-0.052461,-0.043783,0.006861,0.025248,-0.030245,0.005029,-0.016175,0.010035,0.005927,0.024772,0.006204,0.028070,0.026357,-0.032804,0.029239,0.029676,0.009870,0.008901,-0.036194,0.029554,0.032153,0.005343,0.029735,0.023915,0.027377,-0.019313,0.024069,0.024875,0.029060
54,0.008845,0.006140,0.024734,-0.052461,-0.043783,0.009047,0.022603,-0.030245,0.006227,-0.016175,0.005937,0.005043,0.025065,0.006270,0.023672,0.025329,-0.032804,0.030149,0.027653,0.010119,0.008302,-0.036194,0.027157,0.022889,0.009611,0.033973,0.022049,0.026180,-0.019313,0.028354,0.026761,0.028269
55,0.006830,0.006999,0.026446,-0.052461,-0.043783,0.007094,0.029221,-0.030245,0.008703,-0.016175,0.005404,0.010587,0.025311,0.007875,0.026696,0.028053,-0.032804,0.029902,0.025774,0.008373,0.011756,-0.036194,0.026029,0.023714,0.008234,0.027244,0.023826,0.027746,-0.019313,0.028287,0.028610,0.025504
56,0.010443,0.005663,0.024996,-0.052461,-0.043783,0.005330,0.027023,-0.030245,0.009938,-0.016175,0.008185,0.006948,0.021481,0.008877,0.029510,0.026322,-0.032804,0.022270,0.023402,0.011565,0.013217,-0.036194,0.025314,0.024405,0.006456,0.028102,0.026681,0.024094,-0.019313,0.024373,0.025831,0.025398
57,0.009256,0.006468,0.024679,-0.052461,-0.043783,0.010078,0.025411,-0.030245,0.011018,-0.016175,0.006810,0.007096,0.021307,0.007026,0.021038,0.024503,-0.032804,0.026017,0.028200,0.003866,0.009087,-0.036194,0.022413,0.022872,0.007918,0.025609,0.028255,0.025379,-0.019313,0.021303,0.026798,0.025891
58,0.011247,0.006229,0.029252,-0.052461,-0.043783,0.005746,0.026293,-0.030245,0.008069,-0.016175,0.008894,0.004646,0.024028,0.004686,0.027824,0.020544,-0.032804,0.024591,0.028146,0.005533,0.010219,-0.036194,0.024329,0.023205,0.009668,0.023653,0.018760,0.028246,-0.019313,0.022307,0.023788,0.025002
59,0.008677,0.004219,0.027890,-0.052461,-0.043783,0.006153,0.023580,-0.030245,0.006782,-0.016175,0.007173,0.008172,0.025378,0.008759,0.018455,0.026382,-0.032804,0.025438,0.026059,0.006425,0.005134,-0.036194,0.020085,0.026591,0.008313,0.019895,0.025844,0.024161,-0.019313,0.028740,0.027341,0.026941
60,0.005703,0.009880,0.024046,-0.052461,-0.043783,0.008738,0.026526,-0.030245,0.010671,-0.016175,0.008248,0.004997,0.024279,0.008630,0.024140,0.018380,-0.032804,0.025375,0.025928,0.010893,0.006632,-0.036194,0.020920,0.027181,0.005055,0.021388,0.025430,0.022794,-0.019313,0.027123,0.023919,0.022413
61,0.006826,0.007771,0.025118,-0.052461,-0.043783,0.008146,0.025819,-0.030245,0.008099,-0.016175,0.009377,0.009269,0.024926,0.007364,0.023676,0.020831,-0.032804,0.021108,0.022746,0.006179,0.007039,-0.036194,0.025128,0.025732,0.009152,0.024843,0.023808,0.021218,-0.019313,0.020488,0.021952,0.025386
