epoch_number,neuron1_connection1,neuron1_connection2,neuron1_connection3,neuron1_connection4,neuron1_connection5,neuron1_connection6,neuron1_connection7,neuron1_connection8,neuron1_connection9,neuron1_connection10,neuron1_connection11,neuron1_connection12,neuron1_connection13,neuron1_connection14,neuron1_connection15,neuron1_connection16,neuron1_connection17,neuron1_connection18,neuron1_connection19,neuron1_connection20,neuron1_connection21,neuron1_connection22,neuron1_connection23,neuron1_connection24,neuron1_connection25,neuron1_connection26,neuron1_connection27,neuron1_connection28,neuron1_connection29,neuron1_connection30,neuron1_connection31,neuron1_connection32
53,13.886131,14.085283,-9.719597,0.262048,0.279545,13.392467,-9.282675,0.105399,13.752718,-0.224159,13.574566,13.637860,-9.473594,14.142138,-9.848542,-9.269001,0.083077,-9.734980,-9.908157,13.817703,13.675533,0.365651,-9.214892,-9.741844,13.638583,-8.994582,-9.759979,-9.944180,-0.323222,-8.857925,-9.627569,-9.763764
54,14.061991,14.287731,-9.844631,0.262048,0.279545,13.596914,-9.420309,0.105399,13.962725,-0.224159,13.770502,13.832268,-9.610959,14.340603,-9.993377,-9.409990,0.083077,-9.881927,-10.049763,14.021653,13.869452,0.365651,-9.351482,-9.860972,13.833806,-9.142155,-9.911474,-10.089431,-0.323222,-9.010260,-9.765751,-9.906733
55,14.254913,14.469994,-9.982398,0.262048,0.279545,13.780483,-9.574330,0.105399,14.165611,-0.224159,13.961928,14.037065,-9.754829,14.534616,-10.132835,-9.551588,0.083077,-10.026984,-10.182028,14.211660,14.063108,0.365651,-9.484618,-10.005360,14.042396,-9.265203,-10.046948,-10.236270,-0.323222,-9.154232,-9.923792,-10.047095
56,14.447007,14.640613,-10.113219,0.262048,0.279545,13.951223,-9.701685,0.105399,14.343140,-0.224159,14.141709,14.213611,-9.876566,14.709993,-10.270894,-9.675706,0.083077,-10.142003,-10.309478,14.390261,14.249508,0.365651,-9.607926,-10.142591,14.223330,-9.391364,-10.195101,-10.352770,-0.323222,-9.270689,-10.053679,-10.187246
57,14.634207,14.840348,-10.253983,0.262048,0.279545,14.142200,-9.818830,0.105399,14.512187,-0.224159,14.316157,14.394631,-10.011718,14.885401,-10.395887,-9.797425,0.083077,-10.273053,-10.454236,14.547782,14.430394,0.365651,-9.733939,-10.278973,14.410375,-9.514981,-10.333489,-10.491510,-0.323222,-9.395347,-10.181510,-10.334336
58,14.831080,15.017321,-10.407218,0.262048,0.279545,14.332372,-9.954961,0.105399,14.687609,-0.224159,14.513505,14.569271,-10.156981,15.072803,-10.544857,-9.922076,0.083077,-10.415685,-10.601746,14.742066,14.600975,0.365651,-9.873677,-10.421296,14.602383,-9.641684,-10.456228,-10.639132,-0.323222,-9.529409,-10.314785,-10.474131
59,15.010571,15.206806,-10.539534,0.262048,0.279545,14.521502,-10.081062,0.105399,14.865769,-0.224159,14.692533,14.758327,-10.300608,15.271838,-10.660361,-10.068132,0.083077,-10.549864,-10.733665,14.923082,14.779368,0.365651,-9.999640,-10.561746,14.773134,-9.763276,-10.604533,-10.776306,-0.323222,-9.674697,-10.464667,-10.601826
60,15.185125,15.406805,-10.673950,0.262048,0.279545,14.720631,-10.228431,0.105399,15.055996,-0.224159,14.872183,14.936306,-10.431712,15.447425,-10.799045,-10.195769,0.083077,-10.686703,-10.862208,15.118137,14.958645,0.365651,-10.136860,-10.697587,14.958087,-9.909123,-10.744286,-10.913059,-0.323222,-9.812659,-10.595887,-10.738052
61,15.364173,15.588033,-10.806580,0.262048,0.279545,14.901593,-10.353030,0.105399,15.237659,-0.224159,15.050545,15.134162,-10.565392,15.618344,-10.940616,-10.329499,0.083077,-10.815654,-10.986681,15.291115,15.143914,0.365651,-10.276086,-10.828167,15.150840,-10.043088,-10.878573,-11.028913,-0.323222,-9.931334,-10.726810,-10.883387
62,15.539597,15.761108,-10.931439,0.262048,0.279545,15.060600,-10.470841,0.105399,15.404085,-0.224159,15.230597,15.313550,-10.669207,15.777741,-11.060662,-10.462068,0.083077,-10.949300,-11.116963,15.451907,15.321100,0.365651,-10.391232,-10.945513,15.312178,-10.171933,-10.991858,-11.164925,-0.323222,-10.038877,-10.853582,-10.998893
